settlement_id,settlement_date,amount,merchant,reference
S001,2026-08-01,600,Amazon,REF1001
S002,2026-08-02,700,Flipkart,REF1002
S003,2026-08-03,800,Myntra,REF1003
S004,2026-08-04,900,Swiggy,REF1004
S005,2026-08-05,1000,Zomato,REF1005
S006,2026-08-06,1100,Blinkit,REF1006
S007,2026-08-07,1200,Meesho,REF1007
S008,2026-08-08,1300,Ajio,REF1008
S009,2026-08-09,1400,Zepto,REF1009
S010,2026-08-10,1550,Uber,REF1010
S011,2026-08-11,1600,Amazon,REF1011
S012,2026-08-12,1700,Flipkart,REF1012
S013,2026-08-13,1800,Myntra,REF1013
S014,2026-08-14,1900,Swiggy,REF1014
S015,2026-08-25,2000,Zomato,REF1015
S016,2026-08-16,2100,Blinkit,REF1016
S017,2026-08-17,2200,Meesho,REF1017
S018,2026-08-18,2300,Ajio,REF1018
S019,2026-08-19,2400,Zepto,REF1019
S020,2026-08-20,2600,Uber,REF1020
S021,2026-08-01,2600,Amazon,REF1021
S022,2026-08-02,2700,Flipkart,REF1022
S023,2026-08-03,2800,Myntra,REF1023
S024,2026-08-04,2900,Swiggy,REF1024
S025,2026-08-26,3000,Zomato,REF1025
S026,2026-08-06,3100,Blinkit,REF1026
S027,2026-08-07,3200,Meesho,REF1027
S028,2026-08-08,3300,Ajio,REF1028
S029,2026-08-09,3400,Zepto,REF1029
S030,2026-08-10,3575,Uber,REF1030
S031,2026-08-11,3600,Amazon,REF1031
S032,2026-08-12,3700,Flipkart,REF1032
S033,2026-08-13,3800,Myntra,REF1033
S034,2026-08-14,3900,Swiggy,REF1034
S035,2026-08-27,4000,Zomato,REF1035
S036,2026-08-16,4100,Blinkit,REF1036
S037,2026-08-17,4200,Meesho,REF1037
S038,2026-08-18,4300,Ajio,REF1038
S039,2026-08-19,4400,Zepto,REF1039
S040,2026-08-20,4625,Uber,REF1040
S041,2026-08-01,4600,Amazon,REF1041
S042,2026-08-02,4700,Flipkart,REF1042
S043,2026-08-03,4800,Myntra,REF1043
S044,2026-08-04,4900,Swiggy,REF1044
S045,2026-08-28,5000,Zomato,REF1045
S046,2026-08-06,5100,Blinkit,REF1046
S047,2026-08-07,5200,Meesho,REF1047
S048,2026-08-08,5300,Ajio,REF1048
S049,2026-08-09,5400,Zepto,REF1049
S050,2026-08-10,5700,Uber,REF1050
S051,2026-08-11,5600,Amazon,REF1051
S052,2026-08-12,5700,Flipkart,REF1052
S053,2026-08-13,5800,Myntra,REF1053
S054,2026-08-14,5900,Swiggy,REF1054
S056,2026-08-16,6100,Blinkit,REF1056
S057,2026-08-17,6200,Meesho,REF1057
S058,2026-08-18,6300,Ajio,REF1058
S059,2026-08-19,6400,Zepto,REF1059
S060,2026-08-20,6500,Uber,REF1060
