transaction_id,transaction_date,amount,merchant,reference
B001,2026-08-01,600,Amazon,REF1001
B002,2026-08-02,700,Flipkart,REF1002
B003,2026-08-03,800,Myntra,REF1003
B004,2026-08-04,900,Swiggy,REF1004
B005,2026-08-05,1000,Zomato,REF1005
B006,2026-08-06,1100,Blinkit,REF1006
B007,2026-08-07,1200,Meesho,REF1007
B008,2026-08-08,1300,Ajio,REF1008
B009,2026-08-09,1400,Zepto,REF1009
B010,2026-08-10,1500,Uber,REF1010
B011,2026-08-11,1600,Amazon,REF1011
B012,2026-08-12,1700,Flipkart,REF1012
B013,2026-08-13,1800,Myntra,REF1013
B014,2026-08-14,1900,Swiggy,REF1014
B015,2026-08-15,2000,Zomato,REF1015
B016,2026-08-16,2100,Blinkit,REF1016
B017,2026-08-17,2200,Meesho,REF1017
B018,2026-08-18,2300,Ajio,REF1018
B019,2026-08-19,2400,Zepto,REF1019
B020,2026-08-20,2500,Uber,REF1020
B021,2026-08-01,2600,Amazon,REF1021
B022,2026-08-02,2700,Flipkart,REF1022
B023,2026-08-03,2800,Myntra,REF1023
B024,2026-08-04,2900,Swiggy,REF1024
B025,2026-08-05,3000,Zomato,REF1025
B026,2026-08-06,3100,Blinkit,REF1026
B027,2026-08-07,3200,Meesho,REF1027
B028,2026-08-08,3300,Ajio,REF1028
B029,2026-08-09,3400,Zepto,REF1029
B030,2026-08-10,3500,Uber,REF1030
B031,2026-08-11,3600,Amazon,REF1031
B032,2026-08-12,3700,Flipkart,REF1032
B033,2026-08-13,3800,Myntra,REF1033
B034,2026-08-14,3900,Swiggy,REF1034
B035,2026-08-15,4000,Zomato,REF1035
B036,2026-08-16,4100,Blinkit,REF1036
B037,2026-08-17,4200,Meesho,REF1037
B038,2026-08-18,4300,Ajio,REF1038
B039,2026-08-19,4400,Zepto,REF1039
B040,2026-08-20,4500,Uber,REF1040
B041,2026-08-01,4600,Amazon,REF1041
B042,2026-08-02,4700,Flipkart,REF1042
B043,2026-08-03,4800,Myntra,REF1043
B044,2026-08-04,4900,Swiggy,REF1044
B045,2026-08-05,5000,Zomato,REF1045
B046,2026-08-06,5100,Blinkit,REF1046
B047,2026-08-07,5200,Meesho,REF1047
B048,2026-08-08,5300,Ajio,REF1048
B049,2026-08-09,5400,Zepto,REF1049
B050,2026-08-10,5500,Uber,REF1050
B051,2026-08-11,5600,Amazon,REF1051
B052,2026-08-12,5700,Flipkart,REF1052
B053,2026-08-13,5800,Myntra,REF1053
B054,2026-08-14,5900,Swiggy,REF1054
B055,2026-08-15,6000,Zomato,REF1055
B056,2026-08-16,6100,Blinkit,REF1056
B057,2026-08-17,6200,Meesho,REF1057
B058,2026-08-18,6300,Ajio,REF1058
B059,2026-08-19,6400,Zepto,REF1059
B060,2026-08-20,6500,Uber,REF1060
